strain	nn_pool_ibs	nn_pool	mean_pool_ibs
QG2818	0.9828	N2	0.9312849019607843
QG2823	0.977595	N2	0.9304539215686275
QG2824	0.97691	CX11271	0.9298664705882353
QG2825	0.97929	N2	0.93139
QG2827	0.958255	JU561	0.9182781372549019
QG2828	0.96411	N2	0.9249479411764706
QG2832	0.968985	JU774	0.920495
QG2835	0.9728	JU774	0.9220272549019608
QG2836	0.96879	LKC34	0.9241783333333333
QG2837	0.965325	JU774	0.920403137254902
QG2838	0.962295	N2	0.9221020588235294
QG2841	0.96825	N2	0.9230503921568628
QG2843	0.98216	N2	0.9300822549019608
QG2846	0.952605	N2	0.9170590196078431
QG2850	0.97295	ED3077	0.9244043137254901
QG2854	0.96176	ED3077	0.9205666666666666
QG2855	0.960145	ED3077	0.9191450980392157
QG2857	0.961745	ED3077	0.920646862745098
QG2873	0.960045	ED3077	0.9197002941176471
QG2874	0.960475	ED3077	0.9197445098039215
QG2875	0.963005	N2	0.9196351960784314
QG2877	0.95834	N2	0.9204627450980392
QG2932	0.971125	N2	0.9250724509803921
QG4003	0.9783	N2	0.9283496078431372
QG4004	0.976475	N2	0.9275394117647059
QG4006	0.98485	N2	0.9319436274509804
QG4008	0.977695	N2	0.9278415686274509
QG4010	0.972305	N2	0.9282186274509804
QG4012	0.954155	JU774	0.9179039215686274
QG4015	0.965475	N2	0.9221849019607843
QG4017	0.97596	N2	0.9284472549019608
QG4018	0.975115	N2	0.9294312745098039
QG4021	0.96904	N2	0.9229317647058823
QG4080	0.954665	N2	0.9148880392156863
QG4103	0.956065	N2	0.914021568627451
QG4135	0.949065	N2	0.915636862745098
QG4138	0.97068	LKC34	0.9273663725490197
QG4151	0.97069	N2	0.924918725490196
QG4193	0.973175	LKC34	0.9259469607843137
QG4226	0.96232	N2	0.9177310784313726
QG4228	0.95489	N2	0.9182317647058823
QG536	0.971705	N2	0.9265659803921569
QG556	0.959255	ECA348	0.9125907920792079
QG557	0.96999	XZ1515	0.9234564705882353
QW947	0.95863	N2	0.9178380198019802
QX1211	0.94786	ECA36	0.7868755445544554
