strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"JU406",0.000694490225380575,0.0180232880462377,2.92538956390583,-0.00510010885187051,-3.97766639075964
"JU440",-0.00287416879404136,-0.0461267507975009,-5.4776768326497,0.00294015065360652,-2.53163041572604
"JU642",NA,NA,NA,-0.00032952841885467,NA
"JU751",NA,NA,NA,-0.00162450322937728,NA
"JU774",0.000520792886447453,0.00660415034549615,0.483660107362207,0.00130758320391415,-2.88353066662811
"JU778",-0.0167758343023951,-0.12988645936623,-69.1963510274703,0.00383325188398358,-1.77531587211775
"JU782",-0.00120063026562367,-0.00777012883924472,-0.288685974460777,-0.000721999092015717,-2.17911460998854
"JU792",-0.00946685665704487,-0.0526396774947924,-1.72449255639536,-0.00177110149575436,-1.86727306559982
"JU830",NA,NA,NA,-0.00132015498970368,NA
"JU847",7.21637651685216e-05,0.00115763258859106,0.10707401600013,0.000936685321311787,-3.02840628549562
"KR314",NA,NA,NA,0,NA
"MY1",NA,NA,NA,0,NA
"MY10",-0.00131615192978701,-0.0212373175055459,-2.05868116434171,0.00173185942568957,-2.76148736239083
"MY18",-0.00120735675318675,-0.0347540353017841,-65.3998904463912,0.00120735675318675,-2.91816438437846
"MY2147",NA,NA,NA,0,NA
